balances,risks,drawdowns
57945.30536662373,0.01,0.0
59104.21147395621,0.01,0.0
60286.29570343533,0.01,0.0
50000,0.01,0
51000.0,0.01,0.0
50490.0,0.01,0.0
51499.8,0.01,0.0
50984.802,0.01,0.0
50474.953980000006,0.01,0.0
51484.453059600004,0.01,0.0
50969.60852900401,0.01,0.0
51989.00069958409,0.01,0.0
53028.78071357577,0.01,0.0
54089.35632784729,0.01,0.0
53548.462764568816,0.01,0.0
53012.97813692313,0.01,0.0
54073.23769966159,0.01,0.0
55154.70245365483,0.01,0.0
56257.79650272792,0.01,0.0
55695.21853770064,0.01,0.0
56809.12290845465,0.01,0.0
57945.30536662375,0.01,0.0
59104.211473956224,0.01,0.0
58513.16935921666,0.01,0.0
50000,0.01,0
49500.0,0.01,0.01
50490.0,0.01,0.01
51499.8,0.01,0.01
52529.796,0.01,0.01
52004.49804,0.01,0.01
53044.588000799995,0.01,0.01
52514.14212079199,0.01,0.01
51989.000699584074,0.01,0.01
51469.110692588234,0.01,0.01
52498.49290644,0.01,0.01
51973.5079773756,0.01,0.01
51453.77289760185,0.01,0.01
52482.848355553884,0.01,0.01
51958.019871998345,0.01,0.01
52997.180269438315,0.01,0.01
52467.208466743934,0.01,0.01
53516.55263607881,0.01,0.01
52981.38710971802,0.01,0.01
54041.01485191238,0.01,0.01
55121.83514895063,0.01,0.01
50000,0.01,0
51000.0,0.01,0.0
52020.0,0.01,0.0
51499.8,0.01,0.0
50984.802,0.01,0.0
52004.498040000006,0.01,0.0
53044.58800080001,0.01,0.0
54105.47976081601,0.01,0.0
53564.42496320785,0.01,0.0
54635.713462472006,0.01,0.0
54089.35632784729,0.01,0.0
53548.462764568816,0.01,0.0
54619.43201986019,0.01,0.0
55711.8206602574,0.01,0.0
55154.70245365483,0.01,0.0
56257.79650272792,0.01,0.0
57382.95243278248,0.01,0.0
58530.61148143813,0.01,0.0
59701.223711066894,0.01,0.0
59104.211473956224,0.01,0.0
58513.16935921666,0.01,0.0
50000,0.01,0
51000.0,0.01,0.0
50490.0,0.01,0.0
51499.8,0.01,0.0
52529.796,0.01,0.0
53580.39192,0.01,0.0
54651.9997584,0.01,0.0
54105.479760816,0.01,0.0
55187.589356032324,0.01,0.0
54635.713462472,0.01,0.0
55728.42773172144,0.01,0.0
55171.14345440422,0.01,0.0
56274.566323492305,0.01,0.0
57400.05764996215,0.01,0.0
56826.05707346253,0.01,0.0
56257.796502727906,0.01,0.0
57382.95243278246,0.01,0.0
58530.611481438114,0.01,0.0
59701.22371106688,0.01,0.0
60895.24818528822,0.01,0.0
60286.29570343534,0.01,0.0
50000,0.01,0
51000.0,0.01,0.0
52020.0,0.01,0.0
53060.4,0.01,0.0
54121.608,0.01,0.0
55204.04016,0.01,0.0
56308.120963199995,0.01,0.0
57434.283382464,0.01,0.0
56859.94054863936,0.01,0.0
56291.34114315297,0.01,0.0
57417.16796601603,0.01,0.0
58565.51132533635,0.01,0.0
57979.85621208299,0.01,0.0
59139.453336324645,0.01,0.0
58548.0588029614,0.01,0.0
59719.01997902063,0.01,0.0
60913.40037860104,0.01,0.0
62131.66838617306,0.01,0.0
63374.30175389652,0.01,0.0
62740.558736357554,0.01,0.0
63995.36991108471,0.01,0.0
50000,0.01,0
51000.0,0.01,0.0
50490.0,0.01,0.0
49985.1,0.01,0.0002980000000000291
50984.801999999996,0.01,0.0002980000000000291
52004.49804,0.01,0.0002980000000000291
51484.4530596,0.01,0.0002980000000000291
52514.142120792,0.01,0.0002980000000000291
53564.42496320784,0.01,0.0002980000000000291
54635.713462472,0.01,0.0002980000000000291
55728.42773172144,0.01,0.0002980000000000291
55171.14345440422,0.01,0.0002980000000000291
54619.43201986018,0.01,0.0002980000000000291
54073.23769966158,0.01,0.0002980000000000291
53532.50532266496,0.01,0.0002980000000000291
54603.15542911826,0.01,0.0002980000000000291
55695.218537700624,0.01,0.0002980000000000291
55138.26635232362,0.01,0.0002980000000000291
54586.883688800386,0.01,0.0002980000000000291
55678.62136257639,0.01,0.0002980000000000291
55121.83514895063,0.01,0.0002980000000000291
